name,address1,address2,address3,borough_code,borough_name,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,longitude,latitude,easting,northing,runtime,classification,formatted_address,name,place_id,rating,types,user_ratings_total
Noel Coward Theatre,85-88 St Martin's Lane,,,E09000033,City of Westminster,100023432653.0,E05000644,St. James's,,-0.127460404712232,51.51110956314006,530039.9646435846,180792.92368542688,12/29/2019,dance,"85-88 St Martin's Ln, Covent Garden, London WC2N 4AP, United Kingdom",Noël Coward Theatre,ChIJ85vnMskEdkgR884XxFXpoHc,4.5,"['point_of_interest', 'establishment']",1334.0
Park Theatre,13 Clifton Terrace,,,E09000019,Islington,10090266645.0,E05000371,Finsbury Park,https://www.parktheatre.co.uk,-0.10864188873866733,51.565635940947246,531188.9643325536,186889.92202978246,12/29/2019,dance,"Clifton Terrace, Finsbury Park, London N4 3JP, United Kingdom",Park Theatre,ChIJqaky95obdkgRrAYqOEJqzFY,4.6,"['cafe', 'bar', 'food', 'point_of_interest', 'establishment']",705.0
Peacock Theatre,4 Portugal Street,,,E09000033,City of Westminster,100023430213.0,E05000644,St. James's,http://peacocktheatre.com,-0.11799105536213672,51.51462705698138,530686.9644679044,181200.92357318965,12/29/2019,dance,"Portugal St, Holborn, London WC2A 2HT, United Kingdom",Peacock Theatre,ChIJhUo6z0QbdkgRnZG8To2GlN8,4.4,"['point_of_interest', 'establishment']",1456.0
Phoenix Theatre,110 Charing Cross Rd,,,E09000007,Camden,5037592.0,E05000138,Holborn and Covent Garden,http://www.atgtickets.com/venues/phoenix-theatre/,-0.12955427132150904,51.51452423609992,529884.9646853335,181168.9235834781,12/29/2019,dance,"Charing Cross Rd, London WC2H 0JP, United Kingdom",Phoenix Theatre,ChIJ4VJMr9IEdkgRpNfI8XrkKQk,4.5,"['point_of_interest', 'establishment']",2338.0
Piccadilly Theatre,16 Denman Theatre,,,E09000033,City of Westminster,100023472891.0,E05000649,West End,http://www.piccadillytheatre.org,-0.1353745720757855,51.51105578198978,529490.9647933327,180772.9236922916,12/29/2019,dance,"16 Denman St, Soho, London W1D 7DY, United Kingdom",Piccadilly Theatre,ChIJZ98vDNQEdkgRJE51ZgjyTaE,4.5,"['point_of_interest', 'establishment']",2062.0
Playhouse Theatre,10 Northumberland Avenue,,,E09000033,City of Westminster,100023432701.0,E05000644,St. James's,http://www.playhousetheatrelondon.com/tickets/,-0.1236819298437647,51.50696647949397,530313.9645686834,180338.92380886266,12/29/2019,dance,"Northumberland Ave, Charing Cross, London WC2N 5DE, United Kingdom",Playhouse Theatre,ChIJfRE1K88EdkgRYaBCEn9lsNI,4.4,"['point_of_interest', 'establishment']",1596.0
The Queen's Theatre,59 Billet Lane,,,E09000016,Havering,100023213219.0,E05000320,St. Andrew's,http://www.queens-theatre.co.uk,0.2194442974728821,51.56521057982968,553928.328148897,187481.84186738558,12/29/2019,dance,"Billet Ln, Hornchurch RM11 1QT, United Kingdom",Queen's Theatre,ChIJRYYWvRC72EcRXvD7tlIxasQ,4.5,"['point_of_interest', 'establishment']",955.0
Richmond Theatre,"15 Little Green,",,,E09000027,Richmond upon Thames,10002264543.0,E05000528,South Richmond,,-0.3038447813027628,51.46212984710516,517926.96793812537,175047.9252463284,12/29/2019,dance,"Little Green, Richmond TW9 1QJ, United Kingdom",Richmond Theatre,ChIJQzxDjDcMdkgR145n_AYn_cY,4.6,"['point_of_interest', 'establishment']",977.0
Roundhouse,100 Chalk Farm Road,,,E09000007,Camden,5090672.0,E05000130,Camden Town with Primrose Hill,http://www.roundhouse.org.uk,-0.15189860757857346,51.543232337531,528253.9651313303,184321.92272639414,12/29/2019,dance,"Chalk Farm Rd, Camden Town, London NW1 8EH, United Kingdom",Roundhouse,ChIJPcr-g-UadkgRHjOPc3ITZdo,4.6,"['tourist_attraction', 'point_of_interest', 'establishment']",4954.0
Royal Opera House - The Linbury Studio Theatre and Foyer,35 Bow Street,,,E09000033,City of Westminster,10033547198.0,E05000644,St. James's,http://www.roh.org.uk,-0.1226537045637728,51.51304710589021,530367.9645542532,181016.92362373343,12/29/2019,dance,"35-36 Bow St, London WC2E 9DD, United Kingdom",Linbury Theatre,ChIJw27ybssEdkgRnx9Jz130OOs,4.7,"['point_of_interest', 'establishment']",61.0
