name,address1,address2,address3,borough_code,borough_name,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,longitude,latitude,easting,northing,runtime,classification,formatted_address,name,place_id,rating,types,user_ratings_total
Bridge House Theatre,2 High St,,,E09000006,Bromley,100020000000.0,E05000116,Crystal Palace,https://www.bhtheatre.com/,-0.0622302193400366,51.41858405789888,534838.4464414361,170621.999449277,12/29/2019,theatres,"Bridge House, High St, Theatre SE20 8RW, United Kingdom",Bridge House Theatre,ChIJa5JPMLgBdkgRS34H80ANnps,5.0,"['point_of_interest', 'establishment']",1.0
Lauderdale House,Waterlow Park, Highgate Hill,,E09000007,Camden,5132343.0,E05000137,Highgate,http://lauderdalehouse.org.uk/,-0.14491124011958625,51.57016550755269,528662.497420595,187329.2289097932,12/29/2019,theatres,"Waterlow Park, Highgate Hill, London N6 5HG, United Kingdom",Lauderdale House,ChIJgZTLEU0adkgRTMFktmWVkqo,3.8,"['tourist_attraction', 'point_of_interest', 'establishment']",19.0
Hampstead Theatre,Eton Avenue, Swiss Cottage,,E09000007,Camden,5134828.0,E05000128,Belsize,https://www.hampsteadtheatre.com/,-0.1739763621958205,51.544562560495,526719.3986462114,184431.41019807788,12/29/2019,theatres,"Eton Ave, London NW3 3EU, United Kingdom",Hampstead Theatre,ChIJ8fP3-ZAadkgRgH8Zcwn3_1k,4.6,"['point_of_interest', 'establishment']",598.0
Donmar Warehouse,41 Earlham St,,,E09000007,Camden,5147687.0,E05000138,Holborn and Covent Garden,https://www.donmarwarehouse.com/,-0.1273173410795329,51.51456818000893,530040.0452432882,181177.77888074727,12/29/2019,theatres,"41 Earlham St, Seven Dials, London WC2H 9LX, United Kingdom",Donmar Warehouse,ChIJlUVX28wEdkgR7ACthEwk_28,4.7,"['point_of_interest', 'establishment']",318.0
New Diorama Theatre,15-16 Triton St, London ,,E09000007,Camden,5155688.0,E05000142,Regent's Park,http://www.newdiorama.com/,-0.14392492931896803,51.525414878452395,528857.1469650101,182354.59316193376,12/29/2019,theatres,"15-16 Triton St, London NW1 3BF, United Kingdom",New Diorama Theatre,ChIJsU2S8tcadkgR_jmfFgACHxA,4.6,"['point_of_interest', 'establishment']",134.0
Gillian Lynne Theatre,166 Drury Ln,,,E09000007,Camden,5157611.0,E05000138,Holborn and Covent Garden,http://www.reallyusefultheatres.co.uk/our-theatres/new-london,-0.1243786598230061,51.515942106062056,530240.022789121,181335.7815374086,12/29/2019,theatres,"166 Drury Ln, Holborn, London WC2B 5PW, United Kingdom",Gillian Lynne Theatre,ChIJ7eA75soEdkgRZXtgpYnGHYI,4.7,"['point_of_interest', 'establishment']",3217.0
Camden People's Theatre,58-60 Hampstead Rd, Kings Cross,,E09000007,Camden,5158137.0,E05000142,Regent's Park,https://www.cptheatre.co.uk/,-0.1399723532255683,51.52689881428192,529127.1282928473,182526.56981612602,12/29/2019,theatres,"58-60 Hampstead Rd, Kings Cross, London NW1 2PY, United Kingdom",Camden People's Theatre,ChIJ5S5KyScbdkgR6_7vQHsMwjY,4.5,"['point_of_interest', 'establishment']",145.0
Pentameters Theatre,The Horseshoe, 28 Heath St,,E09000007,Camden,5162760.0,E05000133,Frognal and Fitzjohns,http://www.pentameters.co.uk/,-0.18004119547055272,51.55628230425253,526266.4452692458,185724.20114566688,12/29/2019,theatres,"The Horseshoe, 28 Heath St, London NW3 6TE, United Kingdom",Pentameters Theatre,ChIJaSDVkIcadkgR3arLnBqUCWo,4.6,"['point_of_interest', 'establishment']",28.0
Upstairs at The Gatehouse,Highgate Village,,,E09000014,Haringey,5166442.0,E05000272,Highgate,http://www.upstairsatthegatehouse.com/,-0.15193565469927509,51.57246809026717,528169.2429534472,187572.96604230296,12/29/2019,theatres,"1 North Rd, Highgate, London N6 4BD, United Kingdom",Gatehouse,ChIJF2lcJk8adkgRpjwgNQWd0-Q,4.3,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",733.0
Platform Theatre,Central Saint Martin's, 1 Handyside St, Kings Cross,E09000007,Camden,5167112.0,E05000143,St. Pancras and Somers Town,,-0.12519607870094518,51.53743114924061,530122.055022951,183723.92788892094,12/29/2019,theatres,"1 Handyside St, Kings Cross, London N1C 4AA, United Kingdom",Platform Theatre,ChIJNdoGERYbdkgRtr5L8dzUjSI,3.9,"['point_of_interest', 'establishment']",11.0
Wiltons Music Hall,1 Graces Alley, Whitechapel,,E09000030,Tower Hamlets,6006845.0,E05009336,Whitechapel,https://www.wiltons.org.uk/,-0.06855098152314887,51.511124230177096,534127.5366316,180900.81065584754,12/29/2019,theatres,"1 Graces Alley, Whitechapel, London E1 8JB, United Kingdom",Wilton's Music Hall,ChIJbcQbMTQDdkgRGnjfXht0wPA,4.7,"['tourist_attraction', 'cafe', 'bar', 'food', 'point_of_interest', 'establishment']",1416.0
Half Moon Young People̢۪s Theatre,43 White Horse Road,,,E09000030,Tower Hamlets,6044554.0,E05009334,Stepney Green,http://www.halfmoon.org.uk/,-0.04222055336179672,51.51423921425979,535945.2704405095,181295.759149564,12/29/2019,theatres,"43 White Horse Rd, Limehouse, London E1 0ND, United Kingdom",Half Moon Theatre,ChIJQSp1YtMCdkgRFJ93Neu_M-Q,4.6,"['art_gallery', 'point_of_interest', 'establishment']",74.0
The Half Moon,10 Half Moon Lane, Herne Hill,,E09000028,Southwark,6044554.0,E05011100,Dulwich Village,http://www.halfmoonhernehill.co.uk/,-0.0978911721042054,51.453391845299905,532258.4714416246,174427.60491598502,12/29/2019,theatres,"10 Half Moon Ln, Herne Hill, London SE24 9HU, United Kingdom",The Half Moon Pub,ChIJG02cSHMEdkgR7JbLsY0tI20,4.2,"['bar', 'point_of_interest', 'establishment']",687.0
The Space,269 Westferry Rd, Isle of Dogs,,E09000030,Tower Hamlets,6060149.0,E05009324,Island Gardens,https://space.org.uk/,-0.025816899909389717,51.49268042767557,537148.110013663,178929.02059179673,12/29/2019,theatres,"269 Westferry Rd, Isle of Dogs, London E14 3RS, United Kingdom",The Space,ChIJW0Y2xeoCdkgRpj6jHV81gSE,4.5,"['point_of_interest', 'establishment']",197.0
The Yard Theatre,Unit 2A, Queen̢۪s Yard,White Post Lane,E09000030,Tower Hamlets,6077552.0,E05009319,Bow East,https://theyardtheatre.co.uk/,-0.024359022337676145,51.54300955723465,537098.1324257983,184528.34767148615,12/29/2019,theatres,"Unit 2A, Queen's Yard, London E9 5EN, United Kingdom",The Yard Theatre,ChIJOeBnymwddkgRTYHo_L8gBeM,4.5,"['point_of_interest', 'establishment']",207.0
Chisenhale Dance Space,64-84 Chisenhale Rd,,,E09000030,Tower Hamlets,6146768.0,E05009320,Bow West,http://www.chisenhaledancespace.co.uk/,-0.0400691300878303,51.53413798560607,536035.2388139153,183512.54054595105,12/29/2019,theatres,"64-84 Chisenhale Rd, Bow, London E3 5QZ, United Kingdom",Chisenhale Dance Space,ChIJKdLgySMddkgRJ6Gwmx9Qv7A,4.6,"['point_of_interest', 'establishment']",32.0
Toynbee Studios,28 Commercial St,,,E09000030,Tower Hamlets,6183707.0,E05009333,Spitalfields & Banglatown,https://www.artsadmin.co.uk/toynbee-studios,-0.07392359297470671,51.51700361771773,533737.5277385504,181544.77218420518,12/29/2019,theatres,"28 Commercial St, Spitalfields, London E1 6AB, United Kingdom","Artsadmin, Toynbee Studios",ChIJj42CEbUcdkgRrzFaCPykBhE,4.6,"['point_of_interest', 'establishment']",22.0
Rich Mix,35-47 Bethnal Green Rd, London,,E09000030,Tower Hamlets,6192962.0,E05009335,Weavers,https://www.richmix.org.uk/,-0.07541260710627984,51.52474282116906,533611.5751737367,182402.66174920238,12/29/2019,theatres,"35-47 Bethnal Green Rd, Shoreditch, London E1 6LA, United Kingdom",Rich Mix,ChIJDT5Fc7ccdkgRTJN0vGqwGNE,4.5,"['art_gallery', 'movie_theater', 'tourist_attraction', 'cafe', 'food', 'point_of_interest', 'establishment']",1526.0
Grange Court Theatre ,Drama Studio London, Grange Court,,E09000009,Ealing,12084359.0,E05000174,Ealing Common,,-0.3054568839768728,51.509917155602686,517692.00249983603,180359.4103029924,12/29/2019,theatres,"Grange Court, 1 Grange Rd, Ealing, London W5 5QN, United Kingdom",Drama Studio London,ChIJ85nbDEoBdkgRB50wWa7QG9M,3.9,"['university', 'point_of_interest', 'establishment']",7.0
The Questors Theatre,12 Mattock Ln,,,E09000009,Ealing,12084402.0,E05000192,Walpole,http://www.questors.org.uk/,-0.31124231002353125,51.51221678004136,517284.6338120518,180605.86543576812,12/29/2019,theatres,"12 Mattock Ln, Ealing, London W5 5BQ, United Kingdom",The Questors Theatre,ChIJ453ZpYsNdkgRNMauFYNhGQk,4.6,"['point_of_interest', 'establishment']",356.0
Lyric Hammersmith,Lyric Square, King St,,E09000013,Hammersmith and Fulham,34027053.0,E05000256,Hammersmith Broadway,https://lyric.co.uk/,-0.22787712260406484,51.49375939028386,523118.897225369,178690.06645736843,12/29/2019,theatres,"Lyric Hammersmith, Lyric Square, King St, Hammersmith, London W6 0QL, United Kingdom",Lyric Hammersmith,ChIJV5PlRm0OdkgRuQ-xXZHVTSk,4.5,"['point_of_interest', 'establishment']",767.0
Eventim Apollo,45 Queen Caroline Street, Hammersmith,,E09000013,Hammersmith and Fulham,34030384.0,E05000256,Hammersmith Broadway,,-0.2270103296328437,51.490998687070714,523186.504107255,178384.52704034082,12/29/2019,theatres,"45 Queen Caroline St, Hammersmith, London W6 9QH, United Kingdom",Eventim Apollo,ChIJc1Z5dbcPdkgRlKJ-iPJzK_Q,4.4,"['point_of_interest', 'establishment']",6432.0
Shepherds Bush Empire,Shepherd's Bush Green,,,E09000013,Hammersmith and Fulham,34030760.0,E05000263,Shepherd's Bush Green,https://academymusicgroup.com/o2shepherdsbushempire/,-0.22607049220849804,51.50393746473858,523216.86229868786,179824.92724805165,12/29/2019,theatres,"Shepherd's Bush Green, White City, London W12 8TT, United Kingdom",O2 Shepherd's Bush Empire,ChIJ5ZgE5c8PdkgRQ2ZW98aI1Qc,4.3,"['point_of_interest', 'store', 'establishment']",3186.0
Bush Theatre,7 Uxbridge Rd, Shepherd's Bush,,E09000013,Hammersmith and Fulham,34032421.0,E05000263,Shepherd's Bush Green,https://www.bushtheatre.co.uk/,-0.22704543078226305,51.50553429502379,523144.89801778813,180000.8594998382,12/29/2019,theatres,"7 Uxbridge Rd, White City, London W12 8LJ, United Kingdom",Bush Theatre,ChIJxb_U788PdkgRVpZPM9lAJ9Q,4.6,"['point_of_interest', 'establishment']",488.0
Barons Court Theatre,28a Comeragh Rd,,,E09000013,Hammersmith and Fulham,34128758.0,E05000258,North End,http://www.offwestend.com/index.php/theatres/view/42,-0.2123375178896296,51.4896390705389,524208.7802298567,178258.10067470098,12/29/2019,theatres,"28a Comeragh Rd, Hammersmith, London W14 9HR, United Kingdom",Barons Court Theatre,ChIJ57y0-pUPdkgRIdzS8OCDMmU,4.1,"['bar', 'point_of_interest', 'establishment']",56.0
The Bhavan Centre,4A Castletown Rd, Hammersmith,,E09000013,Hammersmith and Fulham,34140084.0,E05000258,North End,http://www.bhavan.net/,-0.2081939313937273,51.48990811744111,524495.7030514921,178295.050565426,12/29/2019,theatres,"4A Castletown Rd, Hammersmith, London W14 9HE, United Kingdom",The Bhavan,ChIJB87eFZQPdkgRjQvUqDPiBM4,4.5,"['point_of_interest', 'establishment']",136.0
Riverside Studios,101 Queen Caroline Street, Hammersmith,,E09000013,Hammersmith and Fulham,34153945.0,E05000258,North End,http://www.riversidestudios.co.uk/,-0.2081939313937273,51.48990811744111,524495.7030514921,178295.050565426,12/29/2019,theatres,"101 Queen Caroline St, Hammersmith, London W6 9BN, United Kingdom",Riverside Studios,ChIJJacpy7YPdkgRyp8qRYjYmps,4.3,"['point_of_interest', 'establishment']",36.0
Sainsbury Theatre,155 Talgarth Rd,,,E09000013,Hammersmith and Fulham,34160370.0,E05000252,Avonmore and Brook Green,https://www.lamda.ac.uk/hire-our-spaces,-0.21552325487419968,51.49106287784542,523983.76059109595,178411.03613244818,12/29/2019,theatres,"155 Talgarth Rd, Hammersmith, London W14 9DA, United Kingdom",LAMDA,ChIJ3wx45r4PdkgRZfDeYZTcMkQ,4.2,"['point_of_interest', 'establishment']",29.0
Teatr Polski,Polish Centre, 238-46 King Street,,E09000013,Hammersmith and Fulham,34160956.0,E05000261,Ravenscourt Park,http://www.posk.org/c5/en/home/,-0.2390150557381749,51.494035139048435,522345.0123351129,178702.0789545966,12/29/2019,theatres,"238-246 King St, Hammersmith, London W6 0RF, United Kingdom",Polish Social and Cultural Association POSK,ChIJj6TrnEoOdkgRoGig9kigVvc,4.4,"['point_of_interest', 'establishment']",617.0
New Wimbledon Theatre,93 The Broadway, Wimbledon,,E09000024,Merton,48008413.0,E05000471,Trinity,http://www.atgtickets.com/venues/new-wimbledon-theatre/,-0.20289575274767788,51.41980862790408,525054.7072990158,170508.94108056757,12/29/2019,theatres,"93 The Broadway, Wimbledon, London SW19 1QG, United Kingdom",New Wimbledon Theatre,ChIJEecYmLoIdkgRvKK6LWhb3dc,4.5,"['point_of_interest', 'establishment']",1686.0
Polka Theatre,240 The Broadway, Wimbledon,,E09000024,Merton,48008566.0,E05000471,Trinity,https://polkatheatre.com/,-0.1960784350015646,51.420198742717,525527.6326703677,170563.96316548373,12/29/2019,theatres,"240 The Broadway, Wimbledon, London SW19 1SB, United Kingdom",Polka Theatre,ChIJOw1N_JsIdkgRcDDgGsYCDsk,4.6,"['point_of_interest', 'establishment']",302.0
Merton Arts Space,Compton Rd, Wimbledon,,E09000024,Merton,48017144.0,E05000462,Hillside,https://arena.yourlondonlibrary.net/web/merton/merton-arts-space-wimbledon,-0.20846541314417708,51.423743155778226,524656.76730752,170936.98276554805,12/29/2019,theatres,"Compton Rd, Wimbledon, London SW19 7QA, United Kingdom",Merton Arts Space,ChIJQRj7qLcIdkgRxHjxby4FqjY,4.4,"['point_of_interest', 'establishment']",14.0
Collyer Hall Theatre,King's College School, Southside, Wimbledon Common,E09000024,Merton,48065710.0,E05000472,Village,https://www.kcs.org.uk/the-kings-community/venue-hire/performance-venues,-0.22770748483034164,51.422447927167426,523322.5039690012,170760.42691263906,12/29/2019,theatres,"20 Clifton Rd, Wimbledon, London SW19 4QU, United Kingdom",Collyer Hall Theatre,ChIJV1Z989AIdkgRpFCROllE6e8,4.5,"['point_of_interest', 'establishment']",2.0
Lantern Arts Centre,Tolverne Road, Raynes Park,,E09000024,Merton,48111953.0,E05000469,Raynes Park,https://www.lanternarts.org/,-0.2314599239229045,51.411899082908896,523089.94433423463,169581.0590335686,12/29/2019,theatres,"Tolverne Rd, Wimbledon, London SW20 8RA, United Kingdom",Lantern Arts Centre,ChIJN1acQt4IdkgRCzSbbAVDmQc,4.4,"['point_of_interest', 'establishment']",32.0
The Colour House Theatre,Merton Abbey Mills, Watermill Way,,E09000024,Merton,48112460.0,E05000455,Abbey,http://www.colourhousetheatre.co.uk/,-0.18476621267758112,51.41351460609228,526332.5462500575,169840.10136075027,12/29/2019,theatres,"Watermill Way, Colliers Wood, London SW19 2RD, United Kingdom",Colourhouse,ChIJg_HS6x4GdkgRETKGsvmgamo,4.4,"['point_of_interest', 'establishment']",50.0
Bridewell Theatre,14 Bride Ln, Fleet St,,E09000001,City and County of the City of London,95511225.0,E05009297,Castle Baynard,http://www.sbf.org.uk/venue-hire/bridewell-theatre/,-0.10660338919514777,51.51401961793313,531478.8249516869,181153.7527873594,12/29/2019,theatres,"14 Bride Ln, London EC4Y 8EQ, United Kingdom",Bridewell Centre Limited,ChIJn9SGZq0EdkgRSqWB4_XECiM,4.4,"['bar', 'point_of_interest', 'establishment']",165.0
The Red Hedgehog,255 - 257 Archway Road, Highgate,,E09000014,Haringey,100021000000.0,E05000272,Highgate,http://www.theredhedgehog.co.uk/,-0.14557858750118682,51.576651068076536,528597.963836408,188049.2788142559,12/29/2019,theatres,"Archway Rd, Highgate, London N6 5BS, United Kingdom",The Red Hedgehog,ChIJbS9eOksadkgR7pCyuIpVbcI,4.3,"['point_of_interest', 'establishment']",31.0
