name,address1,address2,address3,borough_code,borough_name,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,longitude,latitude,easting,northing,runtime,classification,formatted_address,name,place_id,rating,types,user_ratings_total
Leytonstone Ex-Servicemens Club,2 Harvey Road,Waltham Forest,,E09000031,Waltham Forest,100000000000.0,E05000605,Leytonstone,www.leytonstonesocial.club,0.01165681875700748,51.567375291470185,539520.9621899968,187305.922038068,12/29/2019,music,"Harvey Rd, Leytonstone, London E11 3DB, United Kingdom",Leytonstone Ex-Servicemens Club,ChIJqZxJ_G-n2EcRbGWbDBlTP1E,3.9,"['point_of_interest', 'establishment']",60.0
Thousand Island,20-22 Highbury Corner Highbury East,,,E09000019,Islington,0.0,E05000372,Highbury East,www.thegarage.london/listings/#=.thousand-island,-0.10400200621906802,51.54674851266244,531564.9643505255,184797.92271902488,12/29/2019,music,"20-22 Highbury Corner, Highbury East, London N5 1RA, United Kingdom",The Grace,ChIJz590tnobdkgR1H3K0vXh0b4,4.4,"['bar', 'point_of_interest', 'establishment']",108.0
Plough,Tentelow Lane Ealing,,,E09000009,Ealing,12126106.0,E05000186,Norwood Green,www.ploughinnnorwoodgreen.co.uk,-0.3660957039491998,51.49468546694146,513521.9692583693,178569.92441126227,12/29/2019,music,"10 Tentelow Ln, Southall UB2 4LG, United Kingdom",The Plough Inn,ChIJyTI4FUgNdkgRHlmPT3M4Dac,4.6,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",316.0
Rumpus Room,20 Upper Ground,Southwark,,E09000028,Southwark,10091666184.0,E05011095,Borough & Bankside,,-0.10693359576454416,51.508441967854964,531471.9643747566,180532.92387800664,12/29/2019,music,"20 Upper Ground, South Bank, London SE1 9PD, United Kingdom",12th Knot,ChIJ0xJJx7EEdkgRlkI47yURPlw,4.3,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",818.0
Claret Wine Bar,33 The Broadway,Sutton,,E09000029,Sutton,5870019859.0,E05000560,Cheam,,-0.21690161976872405,51.35876450294586,524245.96633902076,163696.92845334118,12/29/2019,music,"33 The Broadway, Sutton SM3 8BL, United Kingdom",Claret Wine Bar Sutton,ChIJqTHnZTsIdkgRGoor-IfFrrA,4.4,"['bar', 'point_of_interest', 'establishment']",55.0
Revolution,42795 High Street,Sutton,,E09000029,Sutton,5870030304.0,E05000567,Sutton West,,-0.19160736100323736,51.35950068178745,526004.9658625929,163821.92842046006,12/29/2019,music,"95-97 Clapham High St, Clapham Town, London SW4 7TB, United Kingdom",Revolution,ChIJx06B-lEEdkgRK3xOidYORTk,3.6,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",556.0
Wallington Arms,6 Woodcote Road,Sutton,,E09000029,Sutton,5870077343.0,E05000570,Wallington South,www.wallingtonarms.com,-0.15015891460273187,51.360085817367896,528888.9650810962,163958.92838204312,12/29/2019,music,"6 Woodcote Rd, Wallington SM6 0NN, United Kingdom",Wallington Arms,ChIJBc-4WJoHdkgRUkaOnJ5VOR4,4.2,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",264.0
Earl Of Eldon,63 Brighton Road,Croydon,,E09000008,Croydon,100000000000.0,E05011484,South Croydon,,-0.09752315673141057,51.35953094448391,532554.9640831783,163990.92837578134,12/29/2019,music,"63 Brighton Rd, South Croydon CR2 6ED, United Kingdom",The Earl of Eldon,ChIJ82qJtk0HdkgRJLz_xYjPeoM,4.1,"['bar', 'point_of_interest', 'establishment']",20.0
Bounce,57 High Street,Sutton,,E09000029,Sutton,5870122285.0,E05000564,Sutton Central,,-0.19244541721383535,51.36156397332993,525940.96588055,164049.92835806333,12/29/2019,music,,,,,,
New Inn,16-18 Myrtle Road,Sutton,,E09000029,Sutton,5870048302.0,E05000564,Sutton Central,,-0.18706566074910602,51.364664241383934,526306.9657818489,164403.92826039589,12/29/2019,music,"Myrtle Cottage, 16 Myrtle Rd, Sutton SM1 4BX, United Kingdom",New Inn,ChIJv5dAeAoIdkgRtoK80JcbwG4,0.0,"['bar', 'point_of_interest', 'establishment']",0.0
The Coach & Horses,10 High Street,Sutton,,E09000029,Sutton,5870077971.0,E05000558,Carshalton Central,,-0.16237483765720692,51.36494518020522,528024.9653164825,164477.92824417696,12/29/2019,music,"1155 Buck Creek Rd E530, Simpsonville, KY 40067, United States",COACH OUTLET SHOPPES OF THE BLUEGRASS,ChIJhYVrLW6-aYgRgRw9Y56cMdU,4.5,"['store', 'point_of_interest', 'establishment']",214.0
Race Horse,17 West Street,Sutton,,E09000029,Sutton,5870063158.0,E05000558,Carshalton Central,www.theracehorsepub.co.uk,-0.16739171394121266,51.36630066674291,527671.9654120337,164619.92820597108,12/29/2019,music,"17 West St, Carshalton SM5 2PT, United Kingdom",The Racehorse,ChIJlbnGQuoHdkgRY2UJtFAeudA,4.2,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",138.0
The Boom Boom Club,Sutton United Football Club The Borough Sports Ground,Gander Green Ln,Sutton,E09000029,Sutton,0.0,E05000567,Sutton West,www.feenstra.co.uk/boomboom,-0.2043611927612379,51.36761052497018,525094.9661124857,164701.92818079688,12/29/2019,music,"The Borough Sports Ground, Gander Green Ln, Sutton SM1 2EY, United Kingdom",Sutton United Football Club,ChIJg6gAmBQIdkgRwvx57veu30A,4.2,"['point_of_interest', 'establishment']",262.0
Scream Lounge,20 South End,Croydon,,E09000008,Croydon,100000000000.0,E05011468,Fairfield,,-0.09929876594051502,51.36661027985402,532410.9641209197,164774.92815944133,12/29/2019,music,"20A S End, Croydon CR0 1DN, United Kingdom",Scream Studios,ChIJZXeZikkHdkgRBNlV6CLkN-c,3.7,"['electronics_store', 'home_goods_store', 'point_of_interest', 'store', 'establishment']",11.0
Olde Whyte Lyon,Farnborough Common Orpington,,,E09000006,Bromley,10013149027.0,E05000118,Farnborough And Crofton,www.yeoldewhytelyon.co.uk,0.054977385515561895,51.36524791371966,543153.9611998235,164912.92812187033,12/29/2019,music,"Farnborough Common, Orpington BR6 8NE, United Kingdom",Ye Olde Whyte Lyon,ChIJScloFCOr2EcRV6JlwaKsjX8,4.3,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",169.0
The Railway Tavern,47 North Street,Sutton,,E09000029,Sutton,5870062829.0,E05000568,The Wrythe,www.railwaytaverncarshalton.co.uk,-0.1658508121006837,51.36927119755269,527770.9653855228,164952.928114374,12/29/2019,music,"47 North St, Carshalton SM5 2HG, United Kingdom",The Railway Tavern,ChIJA5GDSMAHdkgRV7RqX0dfRUY,4.6,"['bar', 'point_of_interest', 'establishment']",127.0
